file	udid	sample_id	clone	passage	day	flask	view	path	date_acquired	confluence
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW1_20150923_4548.jpg	UDID_038	sample1	C3	P17	D2	1	1	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW1_20150923_4548.jpg	1443040196	0.15
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW10_20150923_4557.jpg	UDID_038	sample1	C3	P17	D2	1	10	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW10_20150923_4557.jpg	1443040390	0.23
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW2_20150923_4549.jpg	UDID_038	sample1	C3	P17	D2	1	2	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW2_20150923_4549.jpg	1443040218	0.16
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW3_20150923_4550.jpg	UDID_038	sample1	C3	P17	D2	1	3	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW3_20150923_4550.jpg	1443040236	0.18
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW4_20150923_4551.jpg	UDID_038	sample1	C3	P17	D2	1	4	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW4_20150923_4551.jpg	1443040260	0.09
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW5_20150923_4552.jpg	UDID_038	sample1	C3	P17	D2	1	5	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW5_20150923_4552.jpg	1443040280	0.17
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW6_20150923_4553.jpg	UDID_038	sample1	C3	P17	D2	1	6	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW6_20150923_4553.jpg	1443040302	0.19
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW7_20150923_4554.jpg	UDID_038	sample1	C3	P17	D2	1	7	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW7_20150923_4554.jpg	1443040322	0.21
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW8_20150923_4555.jpg	UDID_038	sample1	C3	P17	D2	1	8	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW8_20150923_4555.jpg	1443040346	0.14
UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW9_20150923_4556.jpg	UDID_038	sample1	C3	P17	D2	1	9	images_example/UDID_038_sample1_C3_P17_MONO_D2_FL1_VIEW9_20150923_4556.jpg	1443040364	0.09
UDID_038_sample1_C3_P17_MONO_D3_FL1_VIEW1_20150924_4702.jpg	UDID_038	sample1	C3	P17	D3	1	1	images_example/UDID_038_sample1_C3_P17_MONO_D3_FL1_VIEW1_20150924_4702.jpg	1443140584	0.38
UDID_038_sample1_C3_P17_MONO_D3_FL1_VIEW10_20150924_4711.jpg	UDID_038	sample1	C3	P17	D3	1	10	images_example/UDID_038_sample1_C3_P17_MONO_D3_FL1_VIEW10_20150924_4711.jpg	1443140830	0.48
